Compatibility*,AFL-2.0,AFL-2.1,AGPL-3.0-only,AGPL-3.0-or-later,Apache-1.0,Apache-1.1,Apache-2.0,Artistic-1.0-Perl,BSD-2-Clause,BSD-2-Clause-Patent,BSD-3-Clause,BSD-4-Clause,BSD-4-Clause-UC,BSL-1.0,bzip2-1.0.5,bzip2-1.0.6,CC0-1.0,CDDL-1.0,CPL-1.0,curl,EFL-2.0,EPL-1.0,EPL-2.0,EUPL-1.1,FTL,GPL-2.0-only,GPL-2.0-only WITH Classpath-exception-2.0,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,HPND,IBM-pibs,ICU,IJG,IPL-1.0,ISC,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later,Libpng,libtiff,MirOS,MIT,MIT-CMU,MPL-1.1,MPL-2.0,MPL-2.0-no-copyleft-exception,MS-PL,MS-RL,NBPL-1.0,NTP,OpenSSL,OSL-3.0,Python-2.0,Qhull,RPL-1.5,SunPro,Unicode-DFS-2015,Unicode-DFS-2016,UPL-1.0,WTFPL,X11,XFree86-1.1,Zlib,zlib-acknowledgement,Permissive,Proprietary,Proprietary-linked,Public Domain,Compatibility
BSD-3-Clause,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,BSD-3-Clause
BSD-4-Clause,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,BSD-4-Clause
BSD-4-Clause-UC,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,BSD-4-Clause-UC
BSL-1.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,BSL-1.0
bzip2-1.0.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,bzip2-1.0.5
bzip2-1.0.6,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,bzip2-1.0.6
CC0-1.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,CC0-1.0
CDDL-1.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,CDDL-1.0
CPL-1.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,?,No,No,No,No,No,?,Yes,Yes,?,Yes,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,CPL-1.0
curl,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,curl
EFL-2.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,EFL-2.0
EPL-1.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,Yes,Yes,Yes,,No,Yes,?,No,No,No,No,No,?,Yes,Yes,?,Yes,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,EPL-1.0
EPL-2.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,EPL-2.0
EUPL-1.1,?,?,No,No,No,No,?,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,No,No,No,No,No,?,Yes,Yes,No,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,EUPL-1.1
FTL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,FTL
GPL-2.0-only,?,?,No,No,No,No,No,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,Yes,No,,Yes,Yes,No,No,?,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,GPL-2.0-only
GPL-2.0-only WITH Classpath-exception-2.0,?,?,No,No,No,No,No,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,Yes,No,No,,No,No,No,?,Yes,Yes,No,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,GPL-2.0-only WITH Classpath-exception-2.0
GPL-2.0-or-later,?,?,No,No,No,No,No,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,Yes,No,Yes,Yes,,No,Yes,?,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,GPL-2.0-or-later
GPL-3.0-only,?,?,Yes,No,No,No,Yes,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,No,No,Yes,,Yes,?,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,GPL-3.0-only
GPL-3.0-or-later,?,?,No,Yes,No,No,Yes,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,No,No,Yes,No,,?,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,GPL-3.0-or-later
HPND,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,HPND
IBM-pibs,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,IBM-pibs
ICU,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,ICU
IJG,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,IJG
IPL-1.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,?,No,No,No,No,No,?,Yes,Yes,?,,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,IPL-1.0
ISC,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,ISC
LGPL-2.1-only,?,?,No,No,No,No,No,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,Yes,No,Yes,No,No,?,Yes,Yes,No,No,Yes,,Yes,No,No,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,LGPL-2.1-only
LGPL-2.1-or-later,?,?,No,No,No,No,No,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,No,No,Yes,No,No,?,Yes,Yes,No,No,Yes,No,,No,Yes,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,LGPL-2.1-or-later
LGPL-3.0-only,?,?,No,No,No,No,Yes,?,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,No,No,No,No,No,?,Yes,Yes,No,No,Yes,No,No,,Yes,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,LGPL-3.0-only
LGPL-3.0-or-later,?,?,No,No,No,No,Yes,?,Yes,?,Yes,No,No,?,Yes,Yes,Yes,No,No,Yes,Yes,No,Dep.,No,No,No,No,No,No,No,?,Yes,Yes,No,No,Yes,No,No,No,,Yes,?,?,Yes,?,No,Yes,No,?,No,?,Yes,No,No,?,?,No,?,?,?,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,LGPL-3.0-or-later
Libpng,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Libpng
libtiff,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,libtiff
MirOS,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,MirOS
MIT,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,MIT
MIT-CMU,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,,No,No,No,?,No,Yes,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,MIT-CMU
MPL-1.1,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,,No,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,MPL-1.1
MPL-2.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,,No,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,MPL-2.0
MPL-2.0-no-copyleft-exception,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,Yes,,?,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,MPL-2.0-no-copyleft-exception
MS-PL,?,?,No,No,?,?,?,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,,No,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,MS-PL
MS-RL,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,,?,Yes,?,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,MS-RL
NBPL-1.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,,Yes,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NBPL-1.0
NTP,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,,?,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NTP
OpenSSL,?,?,No,No,?,?,?,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,,No,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,OpenSSL
OSL-3.0,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,,?,?,No,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,OSL-3.0
Python-2.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Python-2.0
Qhull,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,Yes,?,No,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Qhull
RPL-1.5,?,?,No,No,?,?,?,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,?,No,No,No,No,No,?,Yes,Yes,?,No,Yes,No,No,No,No,Yes,?,?,Yes,?,No,No,No,?,No,?,Yes,?,No,?,?,,?,?,?,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,RPL-1.5
